CNN Model,Input Type,Target Type,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score,Class 0 Jaccard Index,Class 1 Jaccard Index,Class 2 Jaccard Index,Class 3 Jaccard Index,Class 4 Jaccard Index,Class 5 Jaccard Index,Class 6 Jaccard Index
cgnet,rois,multiclass,1,8am,0.7633395791053772,0.5383564829826355,0.3594566285610199,0.0,1.0,1.0,1.0,0.6172588467597961,0.3683226704597473,0.2191082835197448,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,9am,0.7947632074356079,0.5680708289146423,0.3853923976421356,0.0,0.0,1.0,1.0,0.659424901008606,0.3967171609401703,0.238691046833992,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,10am,0.7942268252372742,0.5700087547302246,0.3897274136543274,0.0,0.0,1.0,1.0,0.6586868166923523,0.3986099660396576,0.2420257478952407,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,11am,0.7926591038703918,0.5689094662666321,0.4115265607833862,0.0,0.0,1.0,1.0,0.6565330028533936,0.3975356519222259,0.2590704560279846,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,12pm,0.8006529808044434,0.5769031643867493,0.4321233332157135,0.0,0.0,1.0,1.0,0.6675741076469421,0.4053857028484344,0.2756105363368988,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1pm,0.7908052206039429,0.5664583444595337,0.3897458612918854,1.0,1.0,1.0,1.0,0.6539932489395142,0.3951460719108581,0.2420399785041809,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,2pm,0.7829164862632751,0.5589779019355774,0.3263235688209533,0.0,1.0,1.0,1.0,0.6432725787162781,0.3879037499427795,0.1949740946292877,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,3pm,0.7915859818458557,0.5642874240875244,0.2926668226718902,1.0,1.0,1.0,1.0,0.6550619006156921,0.3930364549160003,0.1714175343513488,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,4pm,0.8010291457176208,0.5762345194816589,0.3560842871665954,0.0,0.0,1.0,1.0,0.6680972576141357,0.4047257602214813,0.2166073769330978,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,5pm,0.7816188335418701,0.5549535751342773,0.278983473777771,0.0,1.0,1.0,1.0,0.6415224075317383,0.3840385973453522,0.1621038764715194,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,6pm,0.7749513983726501,0.5508617162704468,0.3345181941986084,0.0,1.0,1.0,1.0,0.6325883269309998,0.3801305592060089,0.2008537203073501,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,7pm,0.7816300392150879,0.5549089908599854,0.3170971572399139,1.0,1.0,1.0,1.0,0.6415374875068665,0.3839958608150482,0.1884227246046066,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,8pm,0.7616398334503174,0.5394159555435181,0.342544674873352,1.0,1.0,1.0,1.0,0.615039050579071,0.3693152666091919,0.2066690176725387,1.0,1.0,1.0,1.0
