CNN Model,Input Type,Target Type,Trial,Day,Hour,F1 Score,Jaccard Index,TP,FP,FN,TN
cgnet,full,binary,3,4pm,2,0.0,0.0,1943950,0,50,0
cgnet,full,binary,3,5pm,2,0.0,0.0,1943950,0,50,0
cgnet,full,binary,3,6pm,2,0.0,0.0,1943950,0,50,0
cgnet,full,binary,3,7pm,2,0.0,0.0,1943950,0,50,0
cgnet,full,binary,3,8pm,2,0.0,0.0,1943950,0,50,0
cgnet,full,binary,3,8am,3,0.8960796594619751,0.8117249011993408,1943113,18,149,720
cgnet,full,binary,3,9am,3,0.9051724076271056,0.8267716765403748,1943111,20,134,735
cgnet,full,binary,3,10am,3,0.8997524976730347,0.8177728056907654,1943111,20,142,727
cgnet,full,binary,3,11am,3,0.8949320316314697,0.8098434209823608,1943106,25,145,724
cgnet,full,binary,3,12pm,3,0.8785399794578552,0.7833894491195679,1943109,22,171,698
cgnet,full,binary,3,1pm,3,0.8710280656814575,0.7715231776237488,1943094,37,170,699
cgnet,full,binary,3,2pm,3,0.8873845934867859,0.7975663542747498,1943096,35,148,721
cgnet,full,binary,3,3pm,3,0.8923259973526001,0.8055853843688965,1943069,62,119,750
cgnet,full,binary,3,4pm,3,0.89570552110672,0.8111110925674438,1943100,31,139,730
cgnet,full,binary,3,5pm,3,0.8868388533592224,0.7966850996017456,1943095,36,148,721
cgnet,full,binary,3,6pm,3,0.8891580700874329,0.8004361987113953,1943083,48,135,734
cgnet,full,binary,3,7pm,3,0.885644793510437,0.7947598099708557,1943084,47,141,728
cgnet,full,binary,3,8pm,3,0.8869987726211548,0.7969432473182678,1943084,47,139,730
cgnet,full,binary,3,8am,4,0.9543783664703368,0.9127377867698668,1941582,39,172,2207
cgnet,full,binary,3,9am,4,0.9592897295951844,0.9217644333839417,1941597,24,164,2215
cgnet,full,binary,3,10am,4,0.9629946351051332,0.9286303520202636,1941576,45,128,2251
cgnet,full,binary,3,11am,4,0.9612736701965332,0.925434947013855,1941586,35,145,2234
