CNN Model,Input Type,Target Type,Trial,Day,Hour,F1 Score,Jaccard Index,TP,FP,FN,TN
unet,full,binary,2,2pm,60,0.9957547783851624,0.9915454387664796,1749785,184,1458,192573
unet,full,binary,2,3pm,60,0.9962238073349,0.9924759864807128,1749821,148,1313,192718
unet,full,binary,2,4pm,60,0.9965610504150392,0.9931457042694092,1749815,154,1177,192854
unet,full,binary,2,6pm,60,0.99623304605484,0.9924943447113036,1749747,222,1236,192795
unet,full,binary,2,7pm,60,0.99673330783844,0.9934879541397096,1749745,224,1041,192990
unet,full,binary,2,8pm,60,0.9970370531082152,0.9940916299819946,1749699,270,878,193153
cgnet,full,binary,3,8am,1,0.0,,1944000,0,0,0
cgnet,full,binary,3,9am,1,0.0,,1944000,0,0,0
cgnet,full,binary,3,10am,1,0.0,,1944000,0,0,0
cgnet,full,binary,3,11am,1,0.0,,1944000,0,0,0
cgnet,full,binary,3,12pm,1,0.0,,1944000,0,0,0
cgnet,full,binary,3,1pm,1,0.0,,1944000,0,0,0
cgnet,full,binary,3,2pm,1,0.0,,1944000,0,0,0
cgnet,full,binary,3,3pm,1,0.0,,1944000,0,0,0
cgnet,full,binary,3,4pm,1,0.0,,1944000,0,0,0
cgnet,full,binary,3,5pm,1,0.0,,1944000,0,0,0
cgnet,full,binary,3,6pm,1,0.0,,1944000,0,0,0
cgnet,full,binary,3,7pm,1,0.0,,1944000,0,0,0
cgnet,full,binary,3,8pm,1,0.0,,1944000,0,0,0
cgnet,full,binary,3,8am,2,0.0,0.0,1943950,0,50,0
cgnet,full,binary,3,9am,2,0.0,0.0,1943950,0,50,0
cgnet,full,binary,3,10am,2,0.0,0.0,1943950,0,50,0
cgnet,full,binary,3,11am,2,0.0,0.0,1943950,0,50,0
cgnet,full,binary,3,12pm,2,0.0,0.0,1943950,0,50,0
cgnet,full,binary,3,1pm,2,0.0,0.0,1943950,0,50,0
cgnet,full,binary,3,2pm,2,0.0,0.0,1943950,0,50,0
cgnet,full,binary,3,3pm,2,0.0,0.0,1943950,0,50,0
