CNN Model,Input Type,Target Type,Trial,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score,Class 0 Jaccard Index,Class 1 Jaccard Index,Class 2 Jaccard Index,Class 3 Jaccard Index,Class 4 Jaccard Index,Class 5 Jaccard Index,Class 6 Jaccard Index
cgnet,rois,multiclass,1,3,8am,0.749585747718811,0.5294574499130249,0.2145730853080749,0.0,1.0,1.0,1.0,0.5994699597358704,0.3600422143936157,0.1201802715659141,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,3,9am,0.7925533056259155,0.5680245161056519,0.2416761368513107,0.0,0.0,1.0,1.0,0.6563878059387207,0.3966719210147857,0.1374468803405761,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,3,10am,0.7711408734321594,0.550157368183136,0.284942090511322,0.0,0.0,1.0,1.0,0.6275258660316467,0.3794600665569305,0.1661413758993148,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,3,11am,0.7415944933891296,0.5244227647781372,0.2535014152526855,0.0,0.0,1.0,1.0,0.5893128514289856,0.3554017543792724,0.1451483517885208,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,3,12pm,0.72538822889328,0.5138249397277832,0.2675414681434631,0.0,0.0,1.0,1.0,0.5691052079200745,0.3457365036010742,0.1544287800788879,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,3,1pm,0.7281699776649475,0.515711784362793,0.2621217668056488,0.0,0.0,1.0,1.0,0.5725371837615967,0.3474471867084503,0.1508286148309707,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,3,2pm,0.7225487232208252,0.5109544992446899,0.2242433726787567,1.0,1.0,0.0,1.0,0.5656174421310425,0.3431423008441925,0.1262804716825485,1.0,1.0,0.0,1.0
cgnet,rois,multiclass,1,3,3pm,0.7110847234725952,0.5027056932449341,0.1900136917829513,1.0,1.0,0.0,1.0,0.5516923666000366,0.335742712020874,0.1049807369709014,1.0,1.0,0.0,1.0
cgnet,rois,multiclass,1,3,4pm,0.7203583717346191,0.5091221928596497,0.2378678172826767,0.0,0.0,1.0,1.0,0.5629376173019409,0.341491550207138,0.1349886357784271,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,3,5pm,0.7142998576164246,0.5011623501777649,0.1587581187486648,0.0,0.0,0.0,1.0,0.5555726289749146,0.3343673646450043,0.0862233936786651,0.0,0.0,0.0,1.0
cgnet,rois,multiclass,1,3,6pm,0.71379554271698,0.5048573017120361,0.2054053992033004,0.0,1.0,0.0,1.0,0.5549627542495728,0.3376649618148803,0.114457830786705,0.0,1.0,0.0,1.0
cgnet,rois,multiclass,1,3,7pm,0.7141518592834473,0.5046242475509644,0.1823076009750366,1.0,0.0,1.0,1.0,0.555393636226654,0.337456464767456,0.100296176970005,1.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,3,8pm,0.7153701782226562,0.5054516792297363,0.2254613190889358,1.0,1.0,1.0,1.0,0.5568687319755554,0.3381969630718231,0.1270534843206405,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,4,8am,0.7754513025283813,0.5505592226982117,0.3249022662639618,0.0,0.0,1.0,1.0,0.6332547664642334,0.3798425197601318,0.1939601898193359,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,4,9am,0.7718032002449036,0.5482445359230042,0.3360304534435272,0.0,1.0,1.0,1.0,0.6284035444259644,0.3776424527168274,0.2019450813531875,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,4,10am,0.786711573600769,0.5635979175567627,0.3960478603839874,0.0305555555969476,0.0,1.0,1.0,0.6484126448631287,0.39236781001091,0.2469200044870376,0.0155148096382617,0.0,1.0,1.0
cgnet,rois,multiclass,1,4,11am,0.783241868019104,0.5596022009849548,0.3629875183105469,0.0351951047778129,0.0,1.0,1.0,0.643712043762207,0.3885053098201751,0.2217377722263336,0.0179127734154462,0.0,1.0,1.0
cgnet,rois,multiclass,1,4,12pm,0.7863603830337524,0.5628489851951599,0.3649251759052276,0.0277536865323781,0.0,1.0,1.0,0.647935688495636,0.3916421830654144,0.2231856137514114,0.0140721192583441,0.0,1.0,1.0
cgnet,rois,multiclass,1,4,1pm,0.7687561511993408,0.5465838313102722,0.3558846116065979,0.0551583245396614,0.0,1.0,1.0,0.6243736147880554,0.3760683834552765,0.2164596319198608,0.0283613447099924,0.0,1.0,1.0
cgnet,rois,multiclass,1,4,2pm,0.753629207611084,0.5330685973167419,0.3102952539920807,0.0451612919569015,1.0,0.0,1.0,0.6046589016914368,0.3633902668952942,0.1836387366056442,0.0231023095548152,1.0,0.0,1.0
cgnet,rois,multiclass,1,4,3pm,0.7516907453536987,0.5317589640617371,0.2815686166286468,0.0267857145518064,1.0,1.0,1.0,0.6021670699119568,0.3621741831302643,0.1638521254062652,0.0135746607556939,1.0,1.0,1.0
cgnet,rois,multiclass,1,4,4pm,0.7560678720474243,0.5370796918869019,0.3465950787067413,0.0348204560577869,1.0,1.0,1.0,0.6078047752380371,0.36712846159935,0.2096250355243683,0.0177187155932188,1.0,1.0,1.0
cgnet,rois,multiclass,1,4,5pm,0.7455238103866577,0.5260899066925049,0.2993012964725494,0.0,1.0,1.0,1.0,0.5942909717559814,0.3569348752498626,0.1759872436523437,0.0,1.0,1.0,1.0
